batting_team,bowling_team,venue,target,current_score,wickets,overs,run_rate,req_run_rate,result
Rajasthan Royals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",138,106,2,15,7.066666666666666,6.4,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,162,123,3,15,8.2,7.8,1
Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,96,90,2,15,6.0,1.2,1
Deccan Chargers,Kolkata Knight Riders,Eden Gardens,164,113,5,15,7.533333333333333,10.2,0
Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,152,124,4,15,8.266666666666667,5.6,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,141,122,1,15,8.133333333333333,3.8,1
Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",189,151,4,15,10.066666666666666,7.6,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,149,119,6,15,7.933333333333334,6.0,1
Royal Challengers Bangalore,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",176,108,5,15,7.2,13.6,0
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,160,140,1,15,9.333333333333334,4.0,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,183,143,1,15,9.533333333333333,8.0,1
Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",184,123,5,15,8.2,12.2,0
Kings XI Punjab,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",166,151,2,15,10.066666666666666,3.0,1
Delhi Daredevils,Pune Warriors,Dr DY Patil Sports Academy,188,140,5,15,9.333333333333334,9.6,1
Kochi Tuskers Kerala,Chennai Super Kings,Nehru Stadium,132,135,3,15,9.0,-0.6,1
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,169,112,5,15,7.466666666666667,11.4,0
Mumbai Indians,Pune Warriors,Wankhede Stadium,119,95,3,15,6.333333333333333,4.8,1
Kolkata Knight Riders,Kochi Tuskers Kerala,Eden Gardens,133,98,6,15,6.533333333333333,7.0,0
Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",196,118,5,15,7.866666666666666,15.6,0
Chennai Super Kings,Mumbai Indians,Wankhede Stadium,165,123,5,15,8.2,8.4,0
Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,172,159,1,15,10.6,2.6,1
Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,232,161,4,15,10.733333333333333,14.2,0
Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",173,101,7,15,6.733333333333333,14.4,0
Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",143,98,5,15,6.533333333333333,9.0,0
Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,161,129,5,15,8.6,6.4,1
Chennai Super Kings,Pune Warriors,Dr DY Patil Sports Academy,142,110,2,15,7.333333333333333,6.4,1
Kochi Tuskers Kerala,Deccan Chargers,Nehru Stadium,130,74,8,15,4.933333333333334,11.2,0
